date,type,category,description,amount
2024-01-01,income,Salary,Monthly salary,8000
2024-01-01,expense,Food,Coffee shop,64.08
2024-01-01,expense,Transport,Uber ride,70.9
2024-01-02,expense,Food,Takeaway order,95.95
2024-01-02,expense,Food,Lunch at restaurant,59.35
2024-01-02,expense,Health,Pharmacy,181.54
2024-01-03,expense,Health,Dental checkup,143.27
2024-01-03,expense,Shopping,Shoes,175.19
2024-01-04,expense,Education,Textbook,294.35
2024-01-04,expense,Entertainment,Spotify,35.99
2024-01-04,expense,Education,Udemy course,85.77
2024-01-05,expense,Entertainment,Spotify,96.5
2024-01-06,expense,Health,Vitamins,174.78
2024-01-06,expense,Shopping,Clothes shopping,298.42
2024-01-07,expense,Entertainment,Concert ticket,40.96
2024-01-07,expense,Food,Lunch at restaurant,139.03
2024-01-08,expense,Food,Grocery store,175.97
2024-01-08,expense,Shopping,Electronics,254.03
2024-01-09,expense,Transport,Gas station,41.97
2024-01-09,expense,Health,Gym membership,219.49
2024-01-11,expense,Education,Textbook,107.19
2024-01-11,expense,Shopping,Electronics,495.29
2024-01-12,expense,Transport,Gas station,85.86
2024-01-12,expense,Education,Online course,130.17
2024-01-14,expense,Entertainment,Netflix subscription,43.48
2024-01-15,expense,Entertainment,Cinema ticket,103.48
2024-01-15,expense,Shopping,Books,114.29
2024-01-15,expense,Transport,Metro ticket,77.05
2024-01-16,expense,Health,Dental checkup,145.68
2024-01-16,expense,Shopping,Electronics,148.69
2024-01-17,expense,Shopping,Clothes shopping,390.1
2024-01-17,expense,Education,Online course,103.49
2024-01-17,expense,Transport,Bus fare,63.68
2024-01-18,expense,Shopping,Shoes,163.14
2024-01-19,expense,Food,Lunch at restaurant,142.71
2024-01-19,expense,Entertainment,Spotify,30.06
2024-01-20,expense,Shopping,Clothes shopping,479.22
2024-01-21,expense,Entertainment,Concert ticket,117.86
2024-01-21,expense,Food,Coffee shop,171.5
2024-01-21,expense,Health,Doctor visit,71.27
2024-01-22,expense,Education,Workshop fee,371.47
2024-01-22,expense,Entertainment,Video game,17.63
2024-01-23,expense,Education,Udemy course,133.81
2024-01-23,expense,Transport,Parking fee,95.23
2024-01-23,expense,Food,Dinner with friends,166.88
2024-01-24,expense,Transport,Metro ticket,69.38
2024-01-24,expense,Transport,Gas station,57.49
2024-01-24,expense,Shopping,Online order,468.01
2024-01-25,expense,Health,Doctor visit,222.5
2024-01-25,expense,Shopping,Electronics,247.15
2024-01-26,expense,Food,Grocery store,60.45
2024-01-26,expense,Entertainment,Netflix subscription,94.42
2024-01-27,expense,Transport,Uber ride,16.39
2024-01-28,expense,Transport,Uber ride,91.49
2024-01-28,expense,Education,Udemy course,74.8
2024-01-29,expense,Health,Vitamins,87.84
2024-01-30,expense,Health,Vitamins,95.61
